,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,gameid
1084,4,PT11M56.00S,2021-02-27T03:12:01.1Z,1,REGULAR,jumpball,recovered,[],203952,,,1610612744,0,0,2021-02-27T03:12:01Z,40000,,,0,,Jump Ball K. Looney vs. P. Washington: Tip to A. Wiggins,"[203952, 1626172, 1629023]",1610612744.0,GSW,startperiod,A. Wiggins,203952.0,Wiggins,A. Wiggins,Looney,1626172.0,Washington,1629023.0,,,,,,,,,,,,,,,,,,,,,,0022000511
1085,32,PT09M29.00S,2021-02-27T03:17:57.3Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612744,5,6,2021-02-27T03:17:57Z,320000,,,0,,Jump Ball P. Washington vs. K. Looney: Tip to L. Ball,"[1630163, 1629023, 1626172]",1610612766.0,CHA,heldball,L. Ball,1630163.0,Ball,L. Ball,Washington,1629023.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,0022000511
1086,574,PT06M32.00S,2021-02-27T05:06:39.6Z,4,REGULAR,jumpball,recovered,[],202330,,,1610612766,112,98,2021-02-27T05:06:39Z,5710000,,,0,,Jump Ball P. Washington vs. B. Wanamaker: Tip to G. Hayward,"[202330, 1629023, 202954]",1610612766.0,CHA,heldball,G. Hayward,202330.0,Hayward,G. Hayward,Washington,1629023.0,Wanamaker,202954.0,,,,,,,,,,,,,,,,,,,,,,0022000511
1092,4,PT11M57.00S,2021-02-27T03:15:39.9Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612747,0,0,2021-02-27T03:15:39Z,40000,,,0,,Jump Ball M. Gasol vs. E. Kanter: Tip to D. Schroder,"[203471, 201188, 202683]",1610612747.0,LAL,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Gasol,201188.0,Kanter,202683.0,,,,,,,,,,,,,,,,,,,,,,0022000512
1063,4,PT11M55.00S,2021-02-28T00:10:20.2Z,1,REGULAR,jumpball,recovered,[],1627732,,,1610612755,0,0,2021-02-28T00:10:20Z,40000,,,0,,Jump Ball J. Embiid vs. J. Allen: Tip to B. Simmons,"[1627732, 203954, 1628386]",1610612755.0,PHI,startperiod,B. Simmons,1627732.0,Simmons,B. Simmons,Embiid,203954.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,0022000513
1064,657,PT04M56.00S,2021-02-28T02:21:04.1Z,5,OVERTIME,jumpball,recovered,[],1629731,,,1610612739,92,92,2021-02-28T02:21:04Z,6480000,,,0,,Jump Ball J. Allen vs. J. Embiid: Tip to D. Wade,"[1629731, 1628386, 203954]",1610612739.0,CLE,startperiod,D. Wade,1629731.0,Wade,D. Wade,Allen,1628386.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,0022000513
1070,4,PT11M56.00S,2021-02-28T01:10:10.9Z,1,REGULAR,jumpball,recovered,[],1628366,,,1610612740,0,0,2021-02-28T01:10:10Z,40000,,,0,,Jump Ball S. Adams vs. J. Poeltl: Tip to L. Ball,"[1628366, 203500, 1627751]",1610612740.0,NOP,startperiod,L. Ball,1628366.0,Ball,L. Ball,Adams,203500.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,0022000514
1071,657,PT01M36.00S,2021-02-28T03:22:45.0Z,4,REGULAR,jumpball,recovered,[],1627742,,,1610612740,114,109,2021-02-28T03:22:45Z,6410000,,,0,,Jump Ball J. Hart vs. D. Murray: Tip to B. Ingram,"[1627742, 1628404, 1627749]",1610612740.0,NOP,heldball,B. Ingram,1627742.0,Ingram,B. Ingram,Hart,1628404.0,Murray,1627749.0,,,,,,,,,,,,,,,,,,,,,,0022000514
1069,4,PT11M58.00S,2021-02-28T01:11:50.6Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2021-02-28T01:11:50Z,40000,,,0,,Jump Ball N. Noel vs. M. Turner: Tip to J. Randle,"[203944, 203457, 1626167]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Noel,203457.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,0022000515
1065,4,PT11M56.00S,2021-02-28T01:10:28.6Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-02-28T01:10:28Z,40000,,,0,,Jump Ball R. Gobert vs. N. Vucevic: Tip to R. O'Neale,"[1626220, 203497, 202696]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,0022000516
1066,4,PT11M56.00S,2021-02-28T00:11:26.9Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2021-02-28T00:11:27Z,40000,,,0,,Jump Ball K. Towns vs. M. Wagner: Tip to J. Vanderbilt,"[1629020, 1626157, 1629021]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Wagner,1629021.0,,,,,,,,,,,,,,,,,,,,,,0022000517
1067,105,PT04M28.00S,2021-02-28T00:26:03.7Z,1,REGULAR,jumpball,recovered,[],202722,,,1610612764,16,21,2021-02-28T00:36:22Z,1040000,,,0,,Jump Ball A. Len vs. K. Towns: Tip to D. Bertans,"[202722, 203458, 1626157]",1610612764.0,WAS,heldball,D. Bertans,202722.0,Bertans,D. Bertans,Len,203458.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,0022000517
1068,202,PT10M27.00S,2021-02-28T00:44:20.6Z,2,REGULAR,jumpball,recovered,[],1630166,,,1610612764,31,33,2021-02-28T00:49:53Z,2010000,,,0,,Jump Ball A. Len vs. N. Reid: Tip to D. Avdija,"[1630166, 203458, 1629675]",1610612764.0,WAS,heldball,D. Avdija,1630166.0,Avdija,D. Avdija,Len,203458.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,,0022000517
1073,4,PT11M55.00S,2021-02-28T01:10:18.3Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2021-02-28T01:10:18Z,40000,,,0,,Jump Ball N. Jokic vs. A. Horford: Tip to J. Murray,"[1627750, 203999, 201143]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Jokic,203999.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,0022000518
1072,4,PT11M57.00S,2021-02-28T01:40:36.7Z,1,REGULAR,jumpball,recovered,[],1628467,,,1610612742,0,0,2021-02-28T01:40:36Z,40000,,,0,,Jump Ball K. Porzingis vs. J. Green: Tip to M. Kleber,"[1628467, 204001, 201145]",1610612742.0,DAL,startperiod,M. Kleber,1628467.0,Kleber,M. Kleber,Porzingis,204001.0,Green,201145.0,,,,,,,,,,,,,,,,,,,,,,0022000519
1051,4,PT11M55.00S,2021-02-28T20:40:41.6Z,1,REGULAR,jumpball,recovered,[],201587,,,1610612746,0,0,2021-02-28T20:40:41Z,40000,,,0,,Jump Ball S. Ibaka vs. B. Lopez: Tip to N. Batum,"[201587, 201586, 201572]",1610612746.0,LAC,startperiod,N. Batum,201587.0,Batum,N. Batum,Ibaka,201586.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,0022000520
1052,201,PT07M53.00S,2021-02-28T21:19:01.2Z,2,REGULAR,jumpball,recovered,[],203507,,,1610612746,33,34,2021-02-28T21:19:01Z,1940000,,,0,,Jump Ball B. Portis vs. I. Zubac: Tip to G. Antetokounmpo,"[203507, 1626171, 1627826]",1610612749.0,MIL,heldball,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Portis,1626171.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,0022000520
1053,279,PT01M51.00S,2021-02-28T21:32:00.3Z,2,REGULAR,jumpball,recovered,[],201976,,,1610612749,49,44,2021-02-28T21:46:59Z,2720000,,,0,,Jump Ball R. Jackson vs. D. Augustin: Tip to P. Beverley,"[201976, 202704, 201571]",1610612746.0,LAC,heldball,P. Beverley,201976.0,Beverley,P. Beverley,Jackson,202704.0,Augustin,201571.0,,,,,,,,,,,,,,,,,,,,,,0022000520
1054,4,PT11M57.00S,2021-03-01T01:11:00.9Z,1,REGULAR,jumpball,recovered,[],0,,,1610612765,0,0,2021-03-01T01:11:01Z,40000,,,0,,Jump Ball M. Plumlee vs. N. Noel: Tip to Team (DET),"[203486, 203457]",1610612765.0,DET,startperiod,Team (DET),,,,Plumlee,203486.0,Noel,203457.0,,,,,,,,,,,,,,,,,,,,,,0022000521
1062,4,PT11M56.00S,2021-03-01T01:11:21.7Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2021-03-01T01:11:21Z,40000,,,0,,Jump Ball C. Capela vs. B. Adebayo: Tip to T. Young,"[1629027, 203991, 1628389]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,0022000522
571,4,PT11M56.00S,2021-04-08T23:40:22.1Z,1,REGULAR,jumpball,recovered,[],203107,,,1610612741,0,0,2021-04-08T23:40:22Z,40000,,,0,,Jump Ball N. Vucevic vs. C. Boucher: Tip to T. Satoransky,"[203107, 202696, 1628449]",1610612741.0,CHI,startperiod,T. Satoransky,203107.0,Satoransky,T. Satoransky,Vucevic,202696.0,Boucher,1628449.0,,,,,,,,,,,,,,,,,,,,,,0022000523
1061,4,PT11M57.00S,2021-03-01T00:10:32.8Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612764,0,0,2021-03-01T00:10:32Z,40000,,,0,,Jump Ball M. Wagner vs. D. Theis: Tip to B. Beal,"[203078, 1629021, 1628464]",1610612764.0,WAS,startperiod,B. Beal,203078.0,Beal,B. Beal,Wagner,1629021.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,,0022000524
1057,4,PT11M57.00S,2021-03-01T01:12:06.2Z,1,REGULAR,jumpball,recovered,[],1630217,,,1610612763,0,0,2021-03-01T01:12:06Z,40000,,,0,,Jump Ball J. Valanciunas vs. J. Patton: Tip to D. Bane,"[1630217, 202685, 1628383]",1610612763.0,MEM,startperiod,D. Bane,1630217.0,Bane,D. Bane,Valanciunas,202685.0,Patton,1628383.0,,,,,,,,,,,,,,,,,,,,,,0022000525
1058,502,PT03M09.00S,2021-03-01T02:50:52.3Z,3,REGULAR,jumpball,recovered,[],1630214,,,1610612763,50,88,2021-03-01T02:50:52Z,4960000,,,0,,Jump Ball B. Clarke vs. B. McLemore: Tip to X. Tillman,"[1630214, 1629634, 203463]",1610612763.0,MEM,challenge,X. Tillman,1630214.0,Tillman,X. Tillman,Clarke,1629634.0,McLemore,203463.0,,,,,,,,,,,,,,,,,,,,,,0022000525
1059,661,PT05M44.00S,2021-03-01T03:18:20.0Z,4,REGULAR,jumpball,recovered,[],203463,,,1610612763,69,108,2021-03-01T03:18:20Z,6520000,,,0,,Jump Ball R. Kurucs vs. K. Tillie: Tip to B. McLemore,"[203463, 1629066, 1629681]",1610612745.0,HOU,heldball,B. McLemore,203463.0,McLemore,B. McLemore,Kurucs,1629066.0,Tillie,1629681.0,,,,,,,,,,,,,,,,,,,,,,0022000525
1056,4,PT11M56.00S,2021-03-01T02:10:43.9Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-03-01T02:10:43Z,40000,,,0,,Jump Ball D. Ayton vs. K. Towns: Tip to C. Paul,"[101108, 1629028, 1626157]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,0022000526
1060,4,PT11M57.00S,2021-03-01T01:15:42.5Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2021-03-01T01:15:42Z,40000,,,0,,Jump Ball M. Gasol vs. K. Looney: Tip to L. James,"[2544, 201188, 1626172]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Gasol,201188.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,0022000527
