,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,gameid
751,16,PT10M41.00S,2021-02-07T01:41:52.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,7.178055190538765,46.392463235294116,1610612742,2,0,2021-02-07T01:41:57Z,160000,18.0,15.0,1,left,L. Doncic driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,,,,2.34,Made,2.0,,,,,,,,,,,,,,,,0022000360
745,7,PT11M51.00S,2021-02-07T03:10:32.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,90.48948751642575,52.76501225490197,1610612747,2,0,2021-02-07T03:10:37Z,70000,14.0,37.0,1,right,A. Davis turnaround Jump Shot (2 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,,,,3.94,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,0022000361
236,11,PT11M40.00S,2021-04-18T23:11:32.9Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612757,0,1,2021-04-18T23:11:56Z,110000,,,0,,J. Nurkic Free Throw 1 of 2 (1 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,0022000362
739,10,PT11M16.00S,2021-02-07T18:11:44.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627734,32.276609724047304,33.892463235294116,1610612754,3,0,2021-02-07T18:11:52Z,100000,81.0,251.0,1,left,D. Sabonis 26' 3PT  (3 PTS) (J. Holiday 1 AST),"[1627734, 203200]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,26.35,Made,3.0,J. Holiday,203200.0,1.0,,,,,,,,,,,,,0022000363
736,7,PT11M36.00S,2021-02-07T18:11:58.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,7.046649145860711,50.314031862745104,1610612748,0,2,2021-02-07T18:12:03Z,70000,-2.0,14.0,1,left,B. Adebayo DUNK (2 PTS) (J. Butler 1 AST),"[1628389, 202710]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,1.38,Made,2.0,J. Butler,202710.0,1.0,,,,,,,,,,,,,0022000364
740,7,PT11M47.00S,2021-02-07T19:12:13.7Z,1,REGULAR,2pt,Jump Shot,[],1626164,22.815374507227332,50.80422794117647,1610612756,2,0,2021-02-07T19:12:18Z,70000,-4.0,162.0,1,left,D. Booker 16' Jump Shot (2 PTS) (D. Ayton 1 AST),"[1626164, 1629028]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,16.2,Made,2.0,D. Ayton,1629028.0,1.0,,,,,,,,,,,,,0022000365
738,9,PT11M27.00S,2021-02-07T20:11:06.3Z,1,REGULAR,3pt,Jump Shot,[],1628379,94.56307490144546,2.5199142156862746,1610612746,3,0,2021-02-07T20:11:10Z,90000,-237.0,-1.0,1,right,L. Kennard 3PT  (3 PTS) (K. Leonard 1 AST),"[1628379, 202695]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,23.74,Made,3.0,K. Leonard,202695.0,1.0,,,,,,,,,,,,,0022000366
729,7,PT11M34.00S,2021-02-09T00:10:59.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,12.302890932982917,51.294424019607845,1610612745,0,2,2021-02-09T00:11:04Z,70000,-6.0,63.0,1,left,J. Tate 6' Hook (2 PTS) (P. Tucker 1 AST),"[1630256, 200782]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,6.34,Made,2.0,P. Tucker,200782.0,1.0,,,,,,,,,,,,,0022000367
733,12,PT11M15.00S,2021-02-09T01:10:50.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203897,13.222733245729303,48.353247549019606,1610612741,2,0,2021-02-09T01:12:27Z,120000,8.0,72.0,1,left,Z. LaVine 7' turnaround fadeaway Jump Shot (2 PTS),[203897],1610612741.0,CHI,turnaround fadeaway,,,LaVine,Z. LaVine,,,,,,,,7.23,Made,2.0,,,,,,,,,,,,,,,,0022000368
732,7,PT11M42.00S,2021-02-09T01:10:44.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200768,81.15965834428384,38.05912990196079,1610612761,0,2,2021-02-09T01:10:49Z,70000,-60.0,125.0,1,right,K. Lowry 13' driving floating Jump Shot (2 PTS) (F. VanVleet 1 AST),"[200768, 1627832]",1610612761.0,TOR,driving floating,,,Lowry,K. Lowry,,,,,,,,13.82,Made,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,0022000369
